comment,sentiment
(舒普深)注射用头孢哌酮钠舒巴坦钠(2:1)/1,0
(舒普深)注射用头孢哌酮钠舒巴坦钠(基)(抗),0
(舒普深)注射用头孢哌酮钠舒巴坦钠(新),0
(舒普深)注射用头孢哌酮钠舒巴坦钠[基F](舒普深),0
(舒普深1g)注射用头孢哌酮钠舒巴坦钠,0
(限)进口注射用头孢哌酮钠舒巴坦钠(乙类)/1.5g/支,0
(限价:39.444)头孢哌酮钠舒巴坦钠,0
(限价:65.74)(舒普深）头孢哌酮钠舒巴坦钠粉针,0
(限价:65.74)*(舒普深）头孢哌酮钠舒巴坦钠粉针,0
(限价:65.74)头孢哌酮钠舒巴坦钠（舒普深）,0
(限抗)头孢哌酮钠舒巴坦钠粉针,0
(限抗)头孢哌酮钠舒巴坦钠粉针(舒普深),0
(新)注射用头孢哌酮钠舒巴坦钠,0
(新)注射用头孢哌酮钠舒巴坦钠(2:1),0
(乙)(舒普深)注射用头孢哌酮舒巴坦钠,0
(乙0％)(舒普深)注射用头孢哌酮钠舒巴坦钠,0
(重庆)头孢哌酮钠舒巴坦钠粉针,0
**头孢哌酮/舒巴坦粉针(舒普深),0
*头孢哌酮/舒巴坦粉针(舒普深),0
*头孢哌酮钠舒巴坦钠(辉瑞)粉针(备),0
*注射用头孢哌酮钠舒巴坦钠2:1(1.5g)/1.5g/支,0
.头孢哌酮钠/舒巴坦钠[限](舒普深),0
//注射用头孢哌酮钠舒巴坦钠,0
[凡林]注射用头孢哌酮钠舒巴坦钠,0
[市]注射用头孢哌酮钠舒巴坦钠[1.0g(0.5,0
[市增补]注射用头孢哌酮钠舒巴坦钠[1.0g(0,0
[市增补]注射用头孢哌酮钠舒巴坦钠[科瑞][1.,0
[舒普深]头孢哌酮钠舒巴坦钠针,0
[舒普深针]头孢哌酮钠舒巴坦钠/1.5g/瓶,0
[限][舒普深]注射用头孢哌酮钠舒巴坦钠,0
[限]注射用头孢哌酮钠舒巴坦钠,0
[限]注射用头孢哌酮钠舒巴坦钠（2:1）,0
【进】注射用头孢哌酮钠舒巴坦钠(1.0g)[舒普深],0
▲(舒普深)头孢哌酮钠舒巴坦钠注射剂,0
▲(重庆)头孢哌酮钠舒巴坦钠粉针,0
△头孢哌酮钠舒巴坦钠针,0
▲注射用头孢哌酮钠舒巴坦钠,0
▲注射用头孢哌酮钠舒巴坦钠舒普深(限)(基),0
○注射用头孢哌酮钠舒巴坦钠（凡林,0
☆(限)注射用头孢哌酮钠舒巴坦钠,0
☆头孢哌酮钠舒巴坦钠,0
★#头孢哌酮钠舒巴坦钠粉针(科瑞),0
★注射用头孢哌酮钠舒巴坦钠,0
★注射用头孢哌酮钠舒巴坦钠 0.5g*1支,0
★注射用头孢哌酮钠舒巴坦钠 1.0g*1支,0
★注射用头孢哌酮钠舒巴坦钠(立健舒),0
★注射用头孢哌酮舒巴坦(舒普深）,0
※(舒普深)头孢哌酮钠舒巴坦钠粉针,0
※（悦康）注射用头孢哌酮钠舒巴坦钠,0
※头孢哌酮钠舒巴坦钠(舒普深针),0
#(美平)注射用美罗培南,1
＃美罗培南,1
(18新)美罗培南,1
(倍能)注射用美罗培南,1
(倍能）注射用美罗培南/0.5g/支,1
(国产）注射用美罗培南0.5g,1
(海口）注射用美罗培南,1
(进)注射用美罗培南,1
（进口）注射用美罗培南 0.5G/瓶,1
(美平)美罗培南粉针,1
(美平)注射用美罗培南,1
(美平)注射用美罗培南(美平),1
(特殊)注射用美罗培南(乙)(限),1
(限)1注射用美罗培南,1
(限)2注射用美罗培南,1
(限价:41.65)美罗培南,1
(限价:59.5)(罗南)注射用美罗培南,1
(限价:59.5)*注射用美罗培南,1
(限价:59.5)注射用美罗培南,1
(限价:70.81)美罗培南,1
(限价:88.446)美罗培南,1
(新)(自费)注射用美罗培南,1
(新)注射用美罗培南,1
(乙)注射用美罗培南,1
(乙0％)(安美平)苯磺酸左旋氨氯地平片,1
(乙10％)(美平)注射用美罗培南,1
(乙20%)★注射用美罗培南(新亚),1
(乙20%)注射用美罗培南(安吉利),1
(乙20%)注射用美罗培南(美平),1
(乙20%)注射用美罗培南(新亚),1
(卓捷)注射用美罗培南,1
**(限)注射用美罗培南,1
*美罗培南(国产),1
*美罗培南(进口),1
*美罗培南针(国产),1
*美罗培南针(合资),1
*注射用美罗培南,1
//注射用美罗培南,1
/美罗培南/安吉利,1
/注射用美罗培南,1
:注射用美罗培南,1
[Z2]注射用美罗培南☆(乙限)[粤],1
[倍能]美罗培南针,1
[倍能针]美罗培南/0.5g/瓶,1
[基](乙0％)(安美平)苯磺酸左旋氨氯地平片,1
[美平针]美罗培南/0.5g/瓶,1
[限]注射用美罗培南,1
【国】注射用美罗培南(0.5g),1
【进】注射用美罗培南(0.5g)[美平],1
<乙20%▲>注射用美罗培南(倍能).,1
！**(艾恒)注射用奥沙利铂,2
！**(奥铂）注射用奥沙利铂,2
！**(奥力沙)注射用奥沙利铂,2
！**注射用奥沙利铂,2
＃奥沙利铂,2
#注射用奥沙利铂,2
(1)注射用奥沙利铂,2
(18新)奥沙利铂,2
(G)注射用奥沙利铂,2
(GJ)注射用奥沙利铂(冻干粉),2
(艾恒)奥沙利铂,2
(艾恒)奥沙利铂粉针,2
(艾恒)奥沙利铂注射液,2
(艾恒)注射用奥沙利铂,2
（艾恒）注射用奥沙利铂,2
(艾恒)注射用奥沙利铂/50mg/瓶,2
（艾恒）注射用奥沙利铂/50mg/支,2
（艾克搏康）奥沙利铂注射液/40mg/支,2
(奥正南)注射用奥沙利铂,2
(高危B)奥沙利铂粉针(艾恒),2
(高危B)奥沙利铂粉针(乐沙定),2
(国)奥沙利铂,2
（合资）奥沙利铂,2
(基)注射用奥沙利铂[50mg/,2
(基药)注射用奥沙利铂,2
(基乙)注射用奥沙利铂,2
(进口）注射用奥沙利铂,2
(警)乐沙定(注射用奥沙利铂),2
(警)注射用奥沙利铂,2
(乐沙定)奥沙利铂粉针,2
(乐沙定)奥沙利铂注射剂,2
(齐沙)注射用奥沙利铂,2
(限价:34.96)注射用奥沙利铂,2
(限价:77.26)(齐沙)注射用奥沙利铂,2
(新)奥沙利铂注射液,2
(新)注射用奥沙利铂,2
(医保结算价:40.6)[基]注射用奥沙利铂,2
(医保结算价:40.6)奥沙利铂,2
(医保结算价:40.6)奥沙利铂(齐沙),2
(医保结算价:40.6)奥沙利铂*齐鲁制药(海南)有限公司,2
(医保结算价:40.6)奥沙利铂粉针剂,2
(医保结算价:40.6)注射用奥沙利铂(齐沙),2
(乙0％)(艾恒)注射用奥沙利铂,2
**奥沙利铂(冻干),2
*奥沙利铂(艾恒)/50mg/支,2
*奥沙利铂(艾恒)粉针,2
*奥沙利铂(奥正南)粉针,2
*奥沙利铂粉针,2
*奥沙利铂甘露醇(艾恒),2
*奥沙利铂注射剂(乐沙定)(50mg/瓶),2
注射用血塞通（络泰）                              ,3
注射用血塞通(络泰)(冻干)[400mg],3
注射用血塞通_昆明制药,3
血塞通粉针(基),3
血塞通注射液(400mg*20ml),3
注射用血塞通(冻干)(异地),3
注射用血塞通(冻干粉)(400mg),3
(基)注射用血塞通（冻干540Z）,3
(国)注射用血塞通(络泰) 1*10,3
*血塞通注射液,3
注射用血塞通（冻干粉）,3
注射用血塞通（200mg）,3
注射用血塞通(冻干)【异地】,3
注射用血塞通/200毫克/支,3
注射用血塞通*x 0.2g*1支,3
注射用血塞通/0.4g,3
血塞通（粉针剂）*,3
J血塞通注射液★,3
(基)(限)注射用血塞通,3
注射用血塞通(冻干0.4)(甲),3
血塞通(冻干)[危C][200mg],3
血塞通针(冻干）,3
注射用血塞通(冻干)400mg,3
注射用血塞通△/400mg/瓶/瓶,3
血塞通注射液（基）,3
注射用血塞通（冻干）(洛泰),3
血塞通粉针(基药) 400mgX1,3
（络泰）注射用血塞通（冻干）,3
注射用血塞通/200mgX1支/支/支,3
血塞通注射液（昆药）,3
J注射用血塞通（冻干）,3
血塞通注射液(国家17),3
（冻干粉）注射用血塞通/200mg/瓶,3
注射用血塞通（基） 200mg*1瓶,3
血塞通注射液*！,3
注射用血塞通400mg~,3
注射用血塞通(基)/0.4g/瓶,3
注射用血塞通(400mg/昆明制药),3
血塞通针/络泰,3
※注射用血塞通(冻干)（DT）,3
血塞通注射液★,3
(甲)血塞通注射液,3
注射用血塞通(冻干),3
注射用血塞通（冻干）,3
注射用血塞通,3
血塞通注射液,3
注射用血塞通1,3
注射用血塞通[冻干][昆药](甲)#J(基),3
注射用血塞通（基药）,3
血塞通粉针,3
参麦注射液,4
J参麦注射液20ml,4
参麦注射液(正大),4
参麦注射液(限二级以上医院急重症抢救),4
＃参麦注射液,4
*参麦注射液,4
参麦注射液(50ml),4
参麦注射液(四川),4
▲参麦注射液(正大）,4
参麦注射液/三九参麦注射液,4
参麦注射液(2017年版),4
参麦(青春宝),4
参麦注射液 50ml*1瓶,4
参麦水针,4
参麦注射液 100ml*1瓶,4
参麦注射液/参麦注射液,4
参麦注射液(TIPTOP)☆○,4
参麦注射液[50ml],4
▲参麦注射液,4
b参麦注射液,4
参麦注射液*△,4
J参麦注射液-甲S,4
[基]<甲▲>参麦注射液,4
参麦注射液(基),4
参麦注射液(神威),4
参麦注射液(999)☆○,4
J参麦注射液50ml,4
参麦注射剂,4
参麦针,4
限）（四川）参麦注射液,4
★参麦注射液(50ml),4
参麦注射液（限制） ,4
参麦注射液(大理),4
参麦注射液（100ml）,4
参麦注射液（Z）,4
参麦注射液(升和),4
※参麦注射液,4
参麦针I,4
▲参麦注射液[国基],4
参麦注射液【基】,4
参麦注射液（基药）,4
参麦注射液[50ml][正大],4
●参麦注射液(100ml-河北神威),4
参麦注射液大[100ml],4
#参麦注射液,4
J参麦注射液-甲★,4
参麦注射液*,4
参麦(三九),4
参麦注射液[50ml/支],4
参麦注射液(999),4
生脉注射液,5
生脉针,5
●生脉注射液(5ml*5-江苏苏中),5
生脉注射液50ml,5
生脉注射液[20ml],5
生脉注射液/10ml*1/支,5
生脉注射液(限二级及以上医疗机构),5
生脉注射液(999),5
生脉注射液 20ml*1支,5
J生脉注射液,5
生脉注射液(20ml) 20ml*1支,5
生脉注射液J 20ml*1支,5
生脉针(基),5
生脉注射液(25ml),5
＃生脉注射液,5
生脉注射液(2017年版),5
生脉注射液/生脉注射液,5
生脉注射液(50ml),5
生脉注射液(甲）,5
生脉注射液(大)[50ml],5
生脉注射液[50ml/瓶],5
生脉注射液☆○,5
生脉注射液/20ml/支(非适应症),5
生脉注射液(限急重症用药),5
生脉注射液*,5
生脉注射液/J10ml/支,5
生脉注射液G2,5
***生脉注射液,5
生脉注射剂,5
生脉针20ml,5
※生脉注射液（基）,5
※生脉注射液,5
生脉针 J,5
生脉注射液(基药),5
生脉注射液 50ml*1瓶,5
生脉注射液★(25ml),5
生脉注射液（基药）,5
生脉注射液◆,5
(25ml)生脉注射液,5
生脉注射液/20ml/支,5
生脉针(甲基),5
生脉注射液 25ml*1支,5
生脉注射液  [基],5
生脉注射液/生脉注射液(999),5
生脉注射液[基],5
生脉注射液(甲类）,5
生脉注射液[25ml],5
生脉注射液[50ml],5
生脉注射液20ml,5
生脉注射液(生脉注射液),5
丁苯酞软胶囊,6
丁苯酞,6
丁苯酞氯化钠注射液,6
丁苯酞软胶囊(恩必普),6
丁苯酞氯化钠,6
丁苯酞软胶囊(乙)！#Y,6
＃丁苯酞,6
恩必普（丁苯酞软胶囊）,6
丁苯酞(恩必普)软胶囊,6
丁苯酞软胶囊（恩必普）,6
丁苯酞软胶囊/恩必普,6
丁苯酞软胶囊(乙)#Y,6
丁苯酞软胶囊(乙)！#,6
丁苯酞软胶囊(恩必普)☆!,6
丁苯酞\丁苯酞氯化钠,6
丁苯酞软胶囊[100mg*24],6
丁苯酞软胶囊（恩必普),6
丁苯酞氯化钠注射剂,6
丁苯酞(软胶囊),6
▲(恩必普)丁苯酞软胶囊,6
丁苯酞软胶囊[恩必普],6
丁苯酞软胶囊[0.1g*24],6
丁苯酞软胶囊N,6
丁苯酞(2017年版),6
(乙10%)丁苯酞软胶囊(恩必普),6
丁苯酞软胶囊[限][恩必普]/0.1g*24粒/粒,6
*丁苯酞软胶囊(恩必普),6
丁苯酞软胶囊②限C,6
▲丁苯酞软胶囊,6
＃丁苯酞氯化钠,6
恩必普软胶囊(丁苯酞软胶囊),6
